[2025-12-15T19:35:13.6138907Z] Buffer size: 15, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6198956Z] Buffer size: 17, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6249488Z] Buffer size: 18, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6308506Z] Buffer size: 19, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6384471Z] Buffer size: 20, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6641006Z] Buffer size: 21, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6860965Z] Buffer size: 22, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6909087Z] Buffer size: 23, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.6963101Z] Buffer size: 24, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.8952608Z] Buffer size: 25, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.8995875Z] Buffer size: 28, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.9077757Z] Buffer size: 29, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.9119674Z] Buffer size: 30, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.9156377Z] Buffer size: 31, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.9158486Z] Buffer size: 32, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.9192346Z] Buffer size: 34, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.9236133Z] Buffer size: 35, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:13.9239397Z] Buffer size: 36, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.8900732Z] Buffer size: 1, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.8934562Z] Buffer size: 2, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.8964486Z] Buffer size: 3, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.8989230Z] Buffer size: 4, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.9165806Z] Buffer size: 5, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.9293529Z] Buffer size: 6, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.9325814Z] Buffer size: 7, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.9535537Z] Buffer size: 8, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:17.9942869Z] Buffer size: 9, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.0041683Z] Buffer size: 10, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.0521343Z] Buffer size: 11, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.0558574Z] Buffer size: 12, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.0881585Z] Buffer size: 13, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.0919252Z] Buffer size: 14, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.1047076Z] Buffer size: 15, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.1241272Z] Buffer size: 16, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.1295588Z] Buffer size: 17, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.1352690Z] Buffer size: 18, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.3767574Z] Buffer size: 20, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4027326Z] Buffer size: 21, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4041337Z] Buffer size: 22, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4139369Z] Buffer size: 24, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4170877Z] Buffer size: 25, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4404812Z] Buffer size: 26, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4767137Z] Buffer size: 27, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4771122Z] Buffer size: 28, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4805614Z] Buffer size: 29, Threshold: 800, Circuit: Closed
[2025-12-15T19:35:18.4869152Z] Buffer size: 30, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.0341891Z] Buffer size: 1, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.0366365Z] Buffer size: 3, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.0380163Z] Buffer size: 4, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.0644517Z] Buffer size: 5, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.0674068Z] Buffer size: 6, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.0692918Z] Buffer size: 7, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.0722966Z] Buffer size: 8, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.1232411Z] Buffer size: 9, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.1455131Z] Buffer size: 10, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.1523846Z] Buffer size: 11, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.1555301Z] Buffer size: 12, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.2593500Z] Buffer size: 13, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.2875937Z] Buffer size: 15, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.2918342Z] Buffer size: 16, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.2962982Z] Buffer size: 17, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.2991008Z] Buffer size: 18, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.3029147Z] Buffer size: 19, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.3066553Z] Buffer size: 20, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.3721576Z] Buffer size: 21, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.3949395Z] Buffer size: 22, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.3973756Z] Buffer size: 23, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:32.4024887Z] Buffer size: 24, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.6382020Z] Buffer size: 1, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.6426911Z] Buffer size: 2, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.6483007Z] Buffer size: 3, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.6511343Z] Buffer size: 4, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.7509698Z] Buffer size: 5, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.7592283Z] Buffer size: 6, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.7628670Z] Buffer size: 7, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.7845566Z] Buffer size: 8, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.7870119Z] Buffer size: 9, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.8194693Z] Buffer size: 10, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.8235594Z] Buffer size: 11, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.9586945Z] Buffer size: 12, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.9827358Z] Buffer size: 13, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:39.9860004Z] Buffer size: 14, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.1543127Z] Buffer size: 15, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.1693366Z] Buffer size: 16, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.1790976Z] Buffer size: 17, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.3955479Z] Buffer size: 19, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.3976461Z] Buffer size: 20, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.4015397Z] Buffer size: 21, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.4030792Z] Buffer size: 22, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.4064564Z] Buffer size: 24, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.4341684Z] Buffer size: 25, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.4368119Z] Buffer size: 26, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.4726321Z] Buffer size: 28, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:40.4761169Z] Buffer size: 29, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.4930855Z] Buffer size: 1, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.5345832Z] Buffer size: 2, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.5364875Z] Buffer size: 3, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.5630241Z] Buffer size: 5, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.5697894Z] Buffer size: 6, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.5984740Z] Buffer size: 8, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.6006543Z] Buffer size: 9, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.6696831Z] Buffer size: 11, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.7318600Z] Buffer size: 12, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.7414931Z] Buffer size: 13, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.7705969Z] Buffer size: 14, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.8639912Z] Buffer size: 16, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.8674552Z] Buffer size: 17, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.8675332Z] Buffer size: 18, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:43.8702610Z] Buffer size: 19, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:44.2376204Z] Buffer size: 22, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:44.2418352Z] Buffer size: 24, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:44.2636983Z] Buffer size: 25, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:44.2653462Z] Buffer size: 26, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:44.3006128Z] Buffer size: 28, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:44.3434531Z] Buffer size: 29, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:48.6399410Z] Buffer size: 1, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:48.6411390Z] Buffer size: 3, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:48.6818179Z] Buffer size: 6, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:48.7111188Z] Buffer size: 7, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.0320114Z] Buffer size: 9, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.0340595Z] Buffer size: 10, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.0388442Z] Buffer size: 12, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.0426200Z] Buffer size: 13, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.1879809Z] Buffer size: 16, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.2188081Z] Buffer size: 17, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.2229475Z] Buffer size: 20, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.6073469Z] Buffer size: 21, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.6147836Z] Buffer size: 22, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.6987136Z] Buffer size: 23, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.7061990Z] Buffer size: 24, Threshold: 800, Circuit: Closed
[2025-12-15T19:36:49.7108994Z] Buffer size: 25, Threshold: 800, Circuit: Closed
[2025-12-15T19:42:16.6937311Z] Buffer size: 1, Threshold: 800, Circuit: Closed
[2025-12-15T19:42:16.6992530Z] Buffer size: 2, Threshold: 800, Circuit: Closed
[2025-12-15T19:42:16.7281643Z] Buffer size: 3, Threshold: 800, Circuit: Closed
[2025-12-15T19:42:16.7302755Z] Buffer size: 4, Threshold: 800, Circuit: Closed
[2025-12-15T19:42:16.7322340Z] Buffer size: 5, Threshold: 800, Circuit: Closed
[2025-12-17T07:19:56.0306684Z] Buffer size: 1, Threshold: 800, Circuit: Closed
[2025-12-17T07:19:56.0370621Z] Buffer size: 2, Threshold: 800, Circuit: Closed
[2025-12-17T07:19:56.1003707Z] Buffer size: 3, Threshold: 800, Circuit: Closed
[2025-12-17T07:19:56.1027120Z] Buffer size: 4, Threshold: 800, Circuit: Closed
[2025-12-17T07:19:56.1053749Z] Buffer size: 5, Threshold: 800, Circuit: Closed
[2025-12-17T07:19:58.8043239Z] Retry 1 after 2s due to: The requested name is valid, but no data of the requested type was found. (sp-collector.etadbir.com:8088)
[2025-12-17T07:19:58.8059230Z] Starting FlushToFileAsync - Total queue size: 0
[2025-12-17T07:19:58.8070445Z] Queue High: 0 logs
[2025-12-17T07:19:58.8072909Z] Queue Medium: 0 logs
